actividad,num_resenas,valoracion,categoria,ubicacion
Parroquia de la Ascensión,5,4.0,Architectural Buildings,
Espacio Sagasta,3,4.5,Speciality Museums,
Pause & Play,2,2.0,Game & Entertainment Centers,
Tren Turistico Del Vino,2,5.0,Bus Tours,Haro
Rioja Wine Tours,19,5.0,Food Tours,Logrono
CLAM bar pizza,2,3.0,Bars & Clubs,Logrono
Grape Aventura,50,5.0,Self-Guided Tours & Rentals,Haro
La Segunda Taberna,23,5.0,Bars & Clubs,Logrono
Segway la Rioja,1,3.0,Segway Tours,Logrono
Golmajería La Golosina,14,4.5,Speciality & Gift Shops,Logrono
Local Experts Tours,5,5.0,Walking Tours,Logrono
Cinema pub,10,4.0,Bars & Clubs,San Asensio
Bodegas Blanco Pérez De Azpillaga,3,5.0,Wineries & Vineyards,Lanciego
Polideportivo Valle Del Oja,17,4.5,Arenas & Stadiums,Santo Domingo de la Calzada
Free Tour Logroño,1,1.0,Day Trips,Logrono
Rafting Rioja,1,1.0,Canyoning & Rappelling Tours,Logrono
Bodegas Gregorio Martinez,27,5.0,Wine Tours & Tastings,Sorzano
Bierhaus Odeon,9,3.5,Beer Tastings & Tours,Logrono
Tio Tito Bocadillos,29,4.5,Bars & Clubs,Logrono
Diva Bar de Copas,3,5.0,Bars & Clubs,Logrono
Exquisite Rioja,9,5.0,Cultural Tours,Haro
Moscaventur,1,5.0,Canyoning & Rappelling Tours,Arnedo
Traveloja,6,5.0,"4WD, ATV & Off-Road Tours",Herramelluri
FABRES Boutique Agency,2,5.0,Cultural Tours,Logrono
La Tienda De Julia,1,5.0,Speciality & Gift Shops,Ezcaray
Aerorioja,0,,Air Tours,Haro
Laurus Spa,0,,Spas,Najera
Logroaventura,0,,Canyons,Logrono
Rutaventura4x4,0,,Private Tours,
